1AP_nano,1AS_nano,1BP_nano,1BS_nano,1CP_nano,1CS_nano,2AP_nano,2AS_nano,2BP_nano,2BS_nano,2CP_nano,2CS_nano,3AP_nano,3AS_nano,3BP_nano,3BS_nano,3CP_nano,3CS_nano,4AP_nano,4AS_nano,4BP_nano,4BS_nano,4CP_nano,4CS_nano,5AP_nano,5AS_nano,5BP_nano,5BS_nano,5CP_nano,5CS_nano,6AP_nano,6AS_nano,6BP_nano,6BS_nano,6CP_nano,6CS_nano,7AP_nano,7AS_nano,7BP_nano,7BS_nano,7CP_nano,7CS_nano,8AP_nano,8AS_nano,8BP_nano,8BS_nano,8CP_nano,8CS_nano,9AP_nano,9AS_nano,9BP_nano,9BS_nano,9CP_nano,9CS_nano
0,0,0,0,0,0,4,1,4,0,2,1,3,0,4,0,11,0,0,0,0,0,5,0,13,0,10,0,0,0,5,0,4,0,16,0,0,0,0,0,0,0,0,0,15,0,1,0,15,0,7,0,13,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,3,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
25,1,3,1,37,0,36,1,30,0,44,0,29,0,11,0,12,0,5,0,12,1,1,0,40,0,26,0,2,0,26,0,28,0,36,0,21,0,9,2,16,0,6,0,33,0,11,4,43,0,41,0,36,0
0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164,305,89,282,132,137,19,198,59,163,42,95,3,546,4,85,3,440,113,821,79,621,160,68,105,438,49,97,23,420,3,63,1,300,7,27,233,0,88,211,59,160,7,60,15,275,3,374,5,132,9,140,7,293
5,7,3,2,1,0,0,0,0,1,0,0,0,2,0,1,0,3,1,3,0,4,3,0,0,1,0,3,0,2,0,2,0,1,0,1,3,0,3,2,0,5,0,0,1,1,0,2,0,0,0,8,0,1
3,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0,3,1,2,0,7,2,1,1,0,3,0,4,0,0,0,0,0,0,0,1,0,2,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0
23,8,15,4,23,4,10,5,9,1,7,5,0,6,0,2,0,2,4,8,0,12,1,0,0,5,0,1,0,4,0,17,0,23,0,12,0,0,4,4,1,1,0,1,0,3,0,15,0,7,0,6,0,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,6,1,3,2,2,0,1,1,2,2,0,0,5,0,2,0,4,0,3,0,1,2,13,1,2,1,2,1,1,0,6,0,8,0,1,5,0,2,0,0,1,0,2,0,4,0,2,0,2,0,2,0,8
2,3,1,10,0,2,2,1,3,1,2,0,0,2,0,0,0,0,3,0,0,2,3,9,0,1,0,0,0,2,0,1,0,2,0,5,2,0,3,2,1,2,0,1,0,2,0,5,0,5,0,5,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,5,0,0,0,3,0,3,1,5,0,1,0,0,0,1,0,13,1,7,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,8,0,3,0,1,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,29,0,21,3,1,0,10,0,14,1,19,0,40,0,9,0,16,0,54,1,44,1,2,0,38,0,9,0,34,0,7,0,17,0,2,0,0,0,23,0,28,0,7,0,22,0,17,0,6,0,6,0,25
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0
